date,meantemp,humidity,meanpressure
2013-01-01,10.0,84.5,1015.6666666666666
2013-01-02,7.4,92.0,1017.8
2013-01-03,7.166666666666667,87.0,1018.6666666666666
2013-01-04,8.666666666666666,71.33333333333333,1017.1666666666666
2013-01-05,6.0,86.83333333333333,1016.5
2013-01-06,7.0,82.8,1018.0
2013-01-07,7.0,78.6,1020.0
2013-01-08,8.857142857142858,63.71428571428572,1018.7142857142856
2013-01-09,14.0,51.25,1017.0
2013-01-10,11.0,62.0,1015.6666666666666
2013-01-11,15.714285714285714,51.285714285714285,1016.1428571428572
2013-01-12,14.0,74.0,1015.5714285714286
2013-01-13,15.833333333333334,75.16666666666667,1013.3333333333334
2013-01-14,12.833333333333334,88.16666666666667,1015.1666666666666
2013-01-15,14.714285714285714,71.85714285714286,1015.8571428571428
2013-01-16,13.833333333333334,86.66666666666667,1016.6666666666666
2013-01-17,16.5,80.83333333333333,1015.8333333333334
2013-01-18,13.833333333333334,92.16666666666669,1014.5
2013-01-19,12.5,76.66666666666667,1021.6666666666666
2013-01-20,11.285714285714286,75.28571428571429,1020.2857142857144
2013-01-21,11.2,77.0,1021.0
2013-01-22,9.5,79.66666666666667,1021.8
2013-01-23,14.0,60.16666666666666,1020.5
2013-01-24,13.833333333333334,60.66666666666666,1020.5
2013-01-25,12.25,67.0,1020.75
2013-01-26,12.666666666666666,64.16666666666667,1019.6666666666666
2013-01-27,12.857142857142858,65.57142857142857,1018.1428571428572
2013-01-28,14.833333333333334,56.0,1017.8333333333334
2013-01-29,14.125,65.5,1016.625
2013-01-30,14.714285714285714,70.42857142857143,1017.8571428571428
2013-01-31,16.2,65.6,1018.4
2013-02-01,16.0,73.0,1016.0
2013-02-02,16.285714285714285,77.57142857142857,1017.1428571428572
2013-02-03,18.0,65.57142857142857,1015.2857142857144
2013-02-04,17.428571428571427,74.28571428571429,1014.5714285714286
2013-02-05,16.625,92.375,1016.375
2013-02-06,16.666666666666668,71.33333333333333,1018.6666666666666
2013-02-07,15.6,59.4,1018.6
2013-02-08,14.0,70.42857142857143,1017.1428571428572
2013-02-09,15.428571428571429,61.285714285714285,1016.8571428571428
2013-02-10,15.25,71.5,1017.125
2013-02-11,15.875,70.5,1016.5
2013-02-12,15.333333333333334,70.33333333333333,1017.5
2013-02-13,16.285714285714285,70.14285714285714,1016.0
2013-02-14,17.333333333333332,63.833333333333336,1014.1666666666666
2013-02-15,19.166666666666668,65.33333333333333,1011.6666666666666
2013-02-16,14.428571428571429,92.71428571428572,1008.0
2013-02-17,13.666666666666666,90.0,1012.6666666666666
2013-02-18,15.6,78.4,1016.2
2013-02-19,15.857142857142858,82.0,1015.7142857142856
2013-02-20,17.714285714285715,74.71428571428571,1017.0
2013-02-21,20.0,67.28571428571429,1015.4285714285714
2013-02-22,20.5,65.625,1016.0
2013-02-23,17.428571428571427,74.85714285714286,1017.0
2013-02-24,16.857142857142858,78.85714285714286,1018.8571428571428
2013-02-25,16.875,72.875,1018.25
2013-02-26,17.857142857142858,70.0,1015.1428571428572
2013-02-27,20.8,57.2,1015.2
2013-02-28,19.428571428571427,52.85714285714285,1017.4285714285714
2013-03-01,17.333333333333332,49.333333333333336,1016.3333333333334
2013-03-02,19.0,54.0,1016.25
2013-03-03,19.33333333333333,62.833333333333336,1016.1666666666666
2013-03-04,17.6,71.0,1015.8
2013-03-05,20.875,61.875,1016.375
2013-03-06,20.857142857142858,65.28571428571429,1015.7142857142856
2013-03-07,23.428571428571427,57.142857142857146,1015.2857142857144
2013-03-08,24.166666666666668,44.833333333333336,1014.8333333333334
2013-03-09,25.428571428571427,49.71428571428572,1009.2857142857144
2013-03-10,23.142857142857142,57.57142857142857,1008.0
2013-03-11,24.0,66.33333333333333,1011.1666666666666
2013-03-12,23.5,62.5,1011.5
2013-03-13,21.5,70.5,1009.0
2013-03-14,22.33333333333333,61.16666666666666,1013.1666666666666
2013-03-15,24.166666666666668,45.833333333333336,1016.1666666666666
2013-03-16,20.33333333333333,67.66666666666667,1016.1666666666666
2013-03-17,22.666666666666668,58.66666666666666,1015.0
2013-03-18,23.428571428571427,58.142857142857146,1009.4285714285714
2013-03-19,22.5,73.66666666666667,1011.0
2013-03-20,29.166666666666668,36.333333333333336,1009.5
2013-03-21,23.83333333333333,58.5,1008.3333333333334
2013-03-22,25.25,50.25,1006.375
2013-03-23,27.375,50.125,1007.625
2013-03-24,27.0,48.75,1010.25
2013-03-25,23.5,45.5,1010.625
2013-03-26,24.142857142857142,44.57142857142857,1008.8571428571428
2013-03-27,21.0,62.0,1009.0
2013-03-28,22.428571428571427,62.71428571428572,1009.5714285714286
2013-03-29,21.25,70.375,1009.75
2013-03-30,23.5,54.75,1008.625
2013-03-31,23.2,58.0,1008.6
2013-04-01,25.375,45.5,1008.5
2013-04-02,25.166666666666668,51.0,1009.5
2013-04-03,26.2,45.6,1009.0
2013-04-04,24.6,41.8,1007.8
2013-04-05,25.6,31.0,1007.0
2013-04-06,25.857142857142858,29.857142857142858,1006.1428571428572
2013-04-07,29.142857142857142,23.285714285714285,1005.0
2013-04-08,28.714285714285715,33.857142857142854,1006.0
2013-04-09,30.166666666666668,30.5,1005.3333333333334
2013-04-10,30.0,28.0,1006.7142857142856
2013-04-11,30.0,24.2,1006.4
2013-04-12,28.857142857142858,32.57142857142857,1007.5714285714286
2013-04-13,30.2,29.2,1008.4
2013-04-14,28.25,39.375,1007.0
2013-04-15,28.25,41.375,1003.875
2013-04-16,32.125,24.625,1000.0
2013-04-17,29.2,24.2,1002.2
2013-04-18,30.285714285714285,30.285714285714285,1002.8571428571428
2013-04-19,28.285714285714285,31.285714285714285,1002.5714285714286
2013-04-20,30.625,29.0,1003.375
2013-04-21,27.666666666666668,38.66666666666666,1006.8333333333334
2013-04-22,27.375,45.375,1010.0
2013-04-23,28.625,44.125,1009.875
2013-04-24,30.285714285714285,41.71428571428572,1008.5714285714286
2013-04-25,31.142857142857142,38.285714285714285,1007.7142857142856
2013-04-26,29.875,45.875,1008.375
2013-04-27,31.142857142857142,31.428571428571427,1007.0
2013-04-28,30.571428571428573,28.0,1005.4285714285714
2013-04-29,32.125,26.375,1004.875
2013-04-30,31.142857142857142,32.0,1004.8571428571428
2013-05-01,31.857142857142858,60.429086599529164,1002.8333333333334
2013-05-02,29.83333333333333,22.166666666666668,1001.2
2013-05-03,28.571428571428573,31.571428571428573,999.4285714285714
2013-05-04,32.857142857142854,31.428571428571427,999.0
2013-05-05,32.625,31.125,1000.625
2013-05-06,32.75,39.25,1001.625
2013-05-07,32.875,33.25,1002.0
2013-05-08,34.5,23.0,1001.1666666666666
2013-05-09,34.285714285714285,26.0,1000.8571428571428
2013-05-10,34.0,27.714285714285715,1000.1428571428572
2013-05-11,30.75,30.375,999.875
2013-05-12,29.857142857142858,40.142857142857146,1003.7142857142856
2013-05-13,31.714285714285715,34.0,1003.5714285714286
