,Layer,Dataset,Seasonal-value,loss
89,LSTM,dataset_n_outliers_log,D-X,0.3869548693851188
90,LSTM,dataset_n,7D-X,0.1908209412186234
91,LSTM,dataset_n_outliers,7D-X,0.19337638826281936
92,LSTM,dataset_n_outliers_l,7D-X,0.19433501859505972
93,LSTM,dataset_n_outliers_representative,7D-X,0.1932199878825082
94,LSTM,dataset_n_outliers_generated,7D-X,0.1928607900109556
95,LSTM,dataset_n_outliers_diff1,7D-X,0.03797896227074994
96,LSTM,dataset_n_outliers_diff2,7D-X,0.05175403740119051
97,LSTM,dataset_n_outliers_sqrt,7D-X,0.13154993068288875
98,LSTM,dataset_n_outliers_log,7D-X,0.3782814343770345
99,LSTM,dataset_n,15D-X,0.1910749701438127
100,LSTM,dataset_n_outliers,15D-X,0.1913606458240085
101,LSTM,dataset_n_outliers_l,15D-X,0.18935055920371302
102,LSTM,dataset_n_outliers_representative,15D-X,0.18750490413771737
103,LSTM,dataset_n_outliers_generated,15D-X,0.19242254396279654
104,LSTM,dataset_n_outliers_diff1,15D-X,0.03771635482984561
105,LSTM,dataset_n_outliers_diff2,15D-X,0.05110233649611473
106,LSTM,dataset_n_outliers_sqrt,15D-X,0.13120506317527206
107,LSTM,dataset_n_outliers_log,15D-X,0.3626415873015369
108,GRU,dataset_n,D,0.19024591589415515
109,GRU,dataset_n_outliers,D,0.18649447516158776
110,GRU,dataset_n_outliers_l,D,0.1481625352192808
111,GRU,dataset_n_outliers_representative,D,0.19171430667241415
112,GRU,dataset_n_outliers_generated,D,0.09340043324563237
113,GRU,dataset_n_outliers_diff1,D,0.03782164912532877
114,GRU,dataset_n_outliers_diff2,D,0.05068382993340492
115,GRU,dataset_n_outliers_sqrt,D,0.13332536540649556
116,GRU,dataset_n_outliers_log,D,0.13211684536050866
117,GRU,dataset_n,7D,0.19537781896414583
118,GRU,dataset_n_outliers,7D,0.187294312649303
119,GRU,dataset_n_outliers_l,7D,0.1931780775388082
120,GRU,dataset_n_outliers_representative,7D,0.19126043054792616
121,GRU,dataset_n_outliers_generated,7D,0.19275934787260163
122,GRU,dataset_n_outliers_diff1,7D,0.03856120631098747
123,GRU,dataset_n_outliers_diff2,7D,0.0509024527337816
124,GRU,dataset_n_outliers_sqrt,7D,0.13281802777890805
125,GRU,dataset_n_outliers_log,7D,0.3046245941961253
126,GRU,dataset_n,15D,0.19129336708121833
127,GRU,dataset_n_outliers,15D,0.1874345557557212
128,GRU,dataset_n_outliers_l,15D,0.1909050516508244
129,GRU,dataset_n_outliers_representative,15D,0.19274117549260458
130,GRU,dataset_n_outliers_generated,15D,0.1924410369247198
131,GRU,dataset_n_outliers_diff1,15D,0.03721318193883808
132,GRU,dataset_n_outliers_diff2,15D,0.05203347694542673
133,GRU,dataset_n_outliers_sqrt,15D,0.1322986480814439
134,GRU,dataset_n_outliers_log,15D,0.37317453159226316
135,GRU,dataset_n,D-X,0.18996677961614394
136,GRU,dataset_n_outliers,D-X,0.1690667964242123
137,GRU,dataset_n_outliers_l,D-X,0.156482154848399
138,GRU,dataset_n_outliers_representative,D-X,0.1900884873337216
139,GRU,dataset_n_outliers_generated,D-X,0.09369355398747657
140,GRU,dataset_n_outliers_diff1,D-X,0.038141662599863825
141,GRU,dataset_n_outliers_diff2,D-X,0.0507321742673715
142,GRU,dataset_n_outliers_sqrt,D-X,0.13123760013668626
143,GRU,dataset_n_outliers_log,D-X,0.11799729104947161
144,GRU,dataset_n,7D-X,0.19271225068304274
145,GRU,dataset_n_outliers,7D-X,0.18780696999143673
146,GRU,dataset_n_outliers_l,7D-X,0.18835440002105855
147,GRU,dataset_n_outliers_representative,7D-X,0.19470700124899545
148,GRU,dataset_n_outliers_generated,7D-X,0.15684833895001146
149,GRU,dataset_n_outliers_diff1,7D-X,0.03779129987513577
150,GRU,dataset_n_outliers_diff2,7D-X,0.05151909851917514
151,GRU,dataset_n_outliers_sqrt,7D-X,0.1307176602659402
152,GRU,dataset_n_outliers_log,7D-X,0.31108075794246465
153,GRU,dataset_n,15D-X,0.1939351150283107
154,GRU,dataset_n_outliers,15D-X,0.1865789614341877
155,GRU,dataset_n_outliers_l,15D-X,0.19204807667820542
156,GRU,dataset_n_outliers_representative,15D-X,0.18930833372804853
157,GRU,dataset_n_outliers_generated,15D-X,0.1924470081511471
158,GRU,dataset_n_outliers_diff1,15D-X,0.03803836181759834
159,GRU,dataset_n_outliers_diff2,15D-X,0.05114158270535646
160,GRU,dataset_n_outliers_sqrt,15D-X,0.1309702537126011
161,GRU,dataset_n_outliers_log,15D-X,0.36251711679829485
