Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
Arima,dataset,6.485305204961589,55.32119879926153,30.90325200211156,3.7251710466766084,20.07559397257347,11.900382509625038,D
Arima,dataset_outliers,6.485305204961589,55.32119879926153,30.90325200211156,3.7251710466766084,20.07559397257347,11.900382509625038,D
Arima,dataset_outliers_l,6.485305204961589,55.32119879926153,30.90325200211156,3.7251710466766084,20.07559397257347,11.900382509625038,D
Arima,dataset_outliers_generated,6.589557368951313,57.54045636319021,32.06500686607076,4.142468671161602,25.262950112626633,14.702709391894118,D
Arima,dataset_outliers_diff1,1.1962015682359874,2.6560910317799746,1.926146300007981,1.309097349247253,2.9127771824938815,2.110937265870567,D
Arima,dataset_outliers_diff2,1.6306392127531915,4.6678912191402,3.149265215946696,1.3378403348313601,3.1272722273613778,2.232556281096369,D
Arima,dataset_outliers_sqrt,0.671353910146665,0.6079668893607753,0.6396603997537201,0.38797869893471326,0.22789847790601614,0.3079385884203647,D
Arima,dataset_outliers_log,0.2834637342286468,0.11191816533242048,0.19769094978053364,0.16604872866575282,0.044664987624816646,0.10535685814528473,D
Arima,dataset,6.342700346755073,52.36903816384138,29.355869255298227,4.0732094911679475,25.413313854688674,14.74326167292831,7D
Arima,dataset_outliers,6.342700346755073,52.36903816384138,29.355869255298227,4.0732094911679475,25.413313854688674,14.74326167292831,7D
Arima,dataset_outliers_l,6.342700346755073,52.36903816384138,29.355869255298227,4.0732094911679475,25.413313854688674,14.74326167292831,7D
Arima,dataset_outliers_generated,6.462184364517012,56.16511364216642,31.313649003341716,4.22840218335883,27.51169874828033,15.870050465819581,7D
Arima,dataset_outliers_diff1,1.105242522053786,2.06927975289257,1.587261137473178,1.1267970757455346,2.313295194744869,1.720046135245202,7D
Arima,dataset_outliers_diff2,1.6258333961989369,4.569103778242322,3.0974685872206296,1.6976746642193892,4.651825306668691,3.17474998544404,7D
Arima,dataset_outliers_sqrt,0.6548663007108401,0.5740492650825093,0.6144577828966746,0.42224537282317687,0.29478686114934205,0.35851611698625946,7D
Arima,dataset_outliers_log,0.27602205645842853,0.10500372048455386,0.1905128884714912,0.1819414854770824,0.059731168671915295,0.12083632707449884,7D
Arima,dataset,6.495823979811206,56.44532812878939,31.4705760543003,4.205850939993097,28.08430107087357,16.14507600543333,15D
Arima,dataset_outliers,6.495823979811206,56.44532812878939,31.4705760543003,4.205850939993097,28.08430107087357,16.14507600543333,15D
Arima,dataset_outliers_l,6.495823979811206,56.44532812878939,31.4705760543003,4.205850939993097,28.08430107087357,16.14507600543333,15D
Arima,dataset_outliers_generated,6.413359448203307,53.43195855415409,29.9226590011787,4.473206260753011,29.804368128360938,17.138787194556976,15D
Arima,dataset_outliers_diff1,1.344347647181687,2.8564230381548423,2.1003853426682646,1.060580013716014,1.6889522052261312,1.3747661094710726,15D
Arima,dataset_outliers_diff2,1.5537988407634904,4.115080066745943,2.8344394537547166,1.355512056346507,2.765114031174885,2.0603130437606962,15D
Arima,dataset_outliers_sqrt,0.674641898424243,0.6246317623761563,0.6496368304001996,0.44017719804983324,0.32378432331682727,0.38198076068333026,15D
Arima,dataset_outliers_log,0.28701944591505874,0.11638419523678434,0.20170182057592154,0.18988094521899107,0.06428294114500971,0.1270819431820004,15D
Arima,dataset,6.141247382315867,47.54023878711385,26.84074308471486,3.8735070173685013,22.15593687661508,13.014721946991791,ME
Arima,dataset_outliers,6.141247382315867,47.54023878711385,26.84074308471486,3.8735070173685013,22.15593687661508,13.014721946991791,ME
Arima,dataset_outliers_l,6.141247382315867,47.54023878711385,26.84074308471486,3.8735070173685013,22.15593687661508,13.014721946991791,ME
Arima,dataset_outliers_generated,6.457364262942377,57.438540807083136,31.947952535012757,4.346511311307524,27.441931652351673,15.894221481829598,ME
Arima,dataset_outliers_diff1,1.2528860783338005,2.8581842881948503,2.0555351832643254,0.9366067004846421,1.458461224252059,1.1975339623683505,ME
Arima,dataset_outliers_diff2,1.6044518274510993,4.045996906540653,2.825224366995876,1.6005414099999902,3.448352312992175,2.5244468614960827,ME
Arima,dataset_outliers_sqrt,0.625718511640686,0.5108827221385903,0.5683006168896382,0.39272473617270354,0.23524715624926304,0.3139859462109833,ME
Arima,dataset_outliers_log,0.25976871170675536,0.09107846622501727,0.1754235889658863,0.16135823618944298,0.0415421907001942,0.10145021344481858,ME
Simple-smoothing,dataset,8.453491277671377,109.01551392994239,58.73450260380688,1.3126018850092516,2.9130497062951406,2.112825795652196,D
Simple-smoothing,dataset_outliers,8.453491277671377,109.01551392994239,58.73450260380688,1.3126018850092516,2.9130497062951406,2.112825795652196,D
Simple-smoothing,dataset_outliers_l,8.453491277671377,109.01551392994239,58.73450260380688,1.3126018850092516,2.9130497062951406,2.112825795652196,D
Simple-smoothing,dataset_outliers_generated,7.688016458218634,98.85332663083491,53.27067154452678,1.881735545254755,7.5095447714072066,4.695640158330981,D
Simple-smoothing,dataset_outliers_diff1,1.1970406457227327,2.6596601735413166,1.9283504096320248,1.3277187371817398,3.0830273067722254,2.2053730219769827,D
Simple-smoothing,dataset_outliers_diff2,1.629161976619442,4.670638004105315,3.1498999903623783,1.7208622845868793,4.899599530009413,3.3102309072981457,D
Simple-smoothing,dataset_outliers_sqrt,0.848686429118404,1.1322776815602038,0.9904820553393039,0.1345167073087539,0.03127029440464077,0.08289350085669733,D
Simple-smoothing,dataset_outliers_log,0.3459595394126243,0.19611947110682235,0.2710395052597233,0.057083151125369394,0.006305290499726149,0.031694220812547774,D
